"","Year","Rank","DJ","Change"
"1",2004,1,"Tiësto","Re-entry"
"2",2005,1,"Paul van Dyk","Up 1"
"3",2006,1,"Paul van Dyk","Non Mover"
"4",2007,1,"Armin Van Buuren","Up 1"
"5",2008,1,"Armin Van Buuren","Non Mover"
"6",2009,1,"Armin Van Buuren","Non Mover"
"7",2010,1,"Armin Van Buuren","Non Mover"
"8",2011,1,"David Guetta","Up 1"
"9",2012,1,"Armin Van Buuren","Up 1"
"10",2013,1,"Hardwell","Up 5"
"11",2014,1,"Hardwell","Non Mover"
"12",2015,1,"Dimitri Vegas & Like Mike","Up 1"
"13",2016,1,"Martin Garrix","Up 2"
"14",2017,1,"Martin Garrix","Non Mover"
"15",2018,1,"Martin Garrix","Non Mover"
"16",2019,1,"Dimitri Vegas & Like Mike","Up 1 "
"17",2020,1,"David Guetta","Up 2"
"18",2021,1,"David Guetta","Non Mover"
"19",2004,2,"Paul van Dyk","Re-entry"
"20",2005,2,"Tiësto","Down 1"
"21",2006,2,"Armin Van Buuren","Up 1"
"22",2007,2,"Tiësto","Up 1"
"23",2008,2,"Tiësto","Non Mover"
"24",2009,2,"Tiësto","Non Mover"
"25",2010,2,"David Guetta","Up 1"
"26",2011,2,"Armin Van Buuren","Down 1"
"27",2012,2,"Tiësto","Up 1"
"28",2013,2,"Armin Van Buuren","Down 1"
"29",2014,2,"Dimitri Vegas & Like Mike","Up 4"
"30",2015,2,"Hardwell","Down 1"
"31",2016,2,"Dimitri Vegas & Like Mike","Down 1"
"32",2017,2,"Dimitri Vegas & Like Mike","Non Mover"
"33",2018,2,"Dimitri Vegas & Like Mike","Non Mover"
"34",2019,2,"Martin Garrix","Down 1"
"35",2020,2,"Dimitri Vegas & Like Mike","Down 1"
"36",2021,2,"Martin Garrix","Up 1"
"37",2004,3,"Armin Van Buuren","Re-entry"
"38",2005,3,"Armin Van Buuren","Non Mover"
"39",2006,3,"Tiësto","Down 1"
"40",2007,3,"John Digweed","Up 5"
"41",2008,3,"Paul van Dyk","Up 1"
"42",2009,3,"David Guetta","Up 2"
"43",2010,3,"Tiësto","Down 1"
"44",2011,3,"Tiësto","Non Mover"
"45",2012,3,"Avicii","Up 3"
"46",2013,3,"Avicii","Non Mover"
"47",2014,3,"Armin Van Buuren","Down 1"
"48",2015,3,"Martin Garrix","Up 1"
"49",2016,3,"Hardwell","Down 1"
"50",2017,3,"Armin Van Buuren","Up 1"
"51",2018,3,"Hardwell","Up 1"
"52",2019,3,"David Guetta","Up 2"
"53",2020,3,"Martin Garrix","Down 1"
"54",2021,3,"Armin Van Buuren","Up 1"
"55",2004,4,"Sasha","Re-entry"
"56",2005,4,"Sasha","Non Mover"
"57",2006,4,"Christopher Lawrence","Up 10"
"58",2007,4,"Paul van Dyk","Down 3"
"59",2008,4,"4 
  

Above & Beyond","Up 2"
"60",2009,4,"4 
  

Above & Beyond","Non Mover"
"61",2010,4,"Deadmau5","Up 2"
"62",2011,4,"Deadmau5","Non Mover"
"63",2012,4,"David Guetta","Down 3"
"64",2013,4,"Tiësto","Down 2"
"65",2014,4,"Martin Garrix","Up 36"
"66",2015,4,"Armin Van Buuren","Down 1"
"67",2016,4,"Armin Van Buuren","Non Mover"
"68",2017,4," Hardwell","Down 1"
"69",2018,4,"Armin Van Buuren","Down 1"
"70",2019,4,"Armin Van Buuren","Non Mover"
"71",2020,4,"Armin Van Buuren","Non Mover"
"72",2021,4,"Alok","Up 1"
"73",2004,5,"Ferry Corsten","Up 1"
"74",2005,5,"Ferry Corsten","Non Mover"
"75",2006,5,"DJ Dan","Up 19"
"76",2007,5,"Sasha","Up 2"
"77",2008,5,"David Guetta","Up 5"
"78",2009,5,"Paul van Dyk","Down 2"
"79",2010,5,"Above & Beyond","Down 1"
"80",2011,5,"Above & Beyond","Non Mover"
"81",2012,5,"Deadmau5","Down 1"
"82",2013,5,"David Guetta","Down 1"
"83",2014,5,"Tiësto","Down 1"
"84",2015,5,"Tiësto","Non Mover"
"85",2016,5,"Tiësto","Non Mover"
"86",2017,5,"Tiësto","Non Mover"
"87",2018,5,"David Guetta","Up 2"
"88",2019,5,"5 
  

Marshmello","Up 5"
"89",2020,5,"Alok","Up 6"
"90",2021,5," Dimitri Vegas & Like Mike","Down 3"
"91",2004,6,"Hernan Cattaneo","Up 16"
"92",2005,6,"John Digweed","Up 2"
"93",2006,6,"Ferry Corsten","Down 1"
"94",2007,6,"Above & Beyond","Up 3"
"95",2008,6,"Ferry Corsten","Up 2"
"96",2009,6,"Deadmau5","Up 5"
"97",2010,6,"Paul van Dyk","Down 1"
"98",2011,6,"Avicii","Up 33"
"99",2012,6,"Hardwell","Up 18"
"100",2013,6,"Dimitri Vegas & Like Mike","Up 32"
"101",2014,6,"Avicii","Down 3"
"102",2015,6,"David Guetta","Up 1"
"103",2016,6,"David Guetta","Non Mover"
"104",2017,6,"The Chainsmokers","Up 12"
"105",2018,6,"

 

DSC_0114 2.JPG 
 
 Tiësto","Down 1"
"106",2019,6,"Don Diablo ","Up 1"
"107",2020,6,"Don Diablo ","Non Mover"
"108",2021,6,"Afrojack","Up 1"
"109",2004,7,"Christopher Lawrence","Up 28"
"110",2005,7,"Hernan Cattaneo","Down 1"
"111",2006,7,"Sasha","Down 3"
"112",2007,7,"Carl Cox","Up 4"
"113",2008,7,"Sasha","Down 2"
"114",2009,7,"Ferry Corsten","Down 1"
"115",2010,7,"Gareth Emery","Up 2"
"116",2011,7,"Afrojack","Up 12"
"117",2012,7,"Dash Berlin","Up 1"
"118",2013,7,"Nicky Romero","Up 10"
"119",2014,7,"David Guetta","Down 2"
"120",2015,7,"Avicii","Down 1"
"121",2016,7,"Steve Aoki","Up 3"
"122",2017,7,"David Guetta","Down 1"
"123",2018,7,"Don Diablo ","Up 4"
"124",2019,7,"Oliver Heldens","Up 2"
"125",2020,7,"Afrojack-top100djs-2020 
 
 Afrojack","Up 2"
"126",2021,7,"Don Diablo ","Down 1"
"127",2004,8,"John Digweed","Down 3"
"128",2005,8,"Deep Dish"," Up 2"
"129",2006,8,"John Digweed","Down 2"
"130",2007,8,"Ferry Corsten","Down 2"
"131",2008,8,"Markus Schulz","Up 5"
"132",2009,8,"Markus Schulz","Non Mover"
"133",2010,8,"Markus Schulz","Non Mover"
"134",2011,8,"Dash Berlin","Up 7"
"135",2012,8,"Above & Beyond","Down 3"
"136",2013,8,"Steve Aoki","Up 7"
"137",2014,8,"Nicky Romero","Down 1"
"138",2015,8,"Afrojack","Up 4"
"139",2016,8,"Oliver Heldens","Up 4"
"140",2017,8,"Afrojack","Up 2"
"141",2018,8,"Afrojack","Non Mover"
"142",2019,8,"Tiësto","Down 2"
"143",2020,8,"Oliver Heldens","Down 1"
"144",2021,8,"Oliver Heldens","Stay 8"
"145",2004,9,"Paul Oakenfold","Down 1"
"146",2005,9,"ATB","Up 4"
"147",2006,9,"Above & Beyond","Up 10"
"148",2007,9,"Infected Mushroom","Up 3"
"149",2008,9,"John Digweed","Down 6"
"150",2009,9,"Gareth Emery","Up 14"
"151",2010,9,"Ferry Corsten","Down 2"
"152",2011,9,"Markus Schulz","Down 1"
"153",2012,9,"Afrojack","Down 2"
"154",2013,9,"Afrojack","Non Mover"
"155",2014,9,"Skrillex","Up 2"
"156",2015,9,"Skrillex","Non Mover"
"157",2016,9,"Skrillex","Non Mover"
"158",2017,9,"Steve Aoki","Down 2"
"159",2018,9,"Oliver Heldens","Up 4"
"160",2019,9,"Afrojack","Down 1"
"161",2020,9,"Steve Aoki","Up 1"
"162",2021,9,"Timmy Trumpet","Up 1"
"163",2004,10,"Deep Dish","Re-entry"
"164",2005,10,"Carl Cox","Up 1"
"165",2006,10,"Deep Dish","Down 2"
"166",2007,10,"David Guetta","Up 21"
"167",2008,10,"Infected Mushroom","Down 1"
"168",2009,10,"Sander Van Doorn","Up 3"
"169",2010,10,"Axwell","Up 4"
"170",2011,10,"Swedish House Mafia","Up 13"
"171",2012,10,"Skrillex","Up 9"
"172",2013,10,"Dash Berlin","Down 3"
"173",2014,10,"Steve Aoki","Down 2"
"174",2015,10,"Steve Aoki","Non Mover"
"175",2016,10,"Afrojack","Down 2"
"176",2017,10,"Marshmello","Up 18"
"177",2018,10,"Marshmello","Non Mover"
"178",2019,10,"Steve Aoki","Up 1"
"179",2020,10,"Timmy Trumpet","Up 3"
"180",2021,10,"Steve Aoki","Down 1"
"181",2004,11,"Carl Cox","Down 4"
"182",2005,11,"Paul Oakenfold","Down 2"
"183",2006,11,"Carl Cox","Down 1"
"184",2007,11,"Deep Dish","Down 1"
"185",2008,11,"Deadmau5","New Entry 1"
"186",2009,11,"ATB","Up 14"
"187",2010,11,"ATB","Non Mover"
"188",2011,11,"Paul van Dyk","Down 5"
"189",2012,11,"Headhunterz","Up 6"
"190",2013,11,"Skrillex","Down 1"
"191",2014,11,"Calvin Harris","Up 4"
"192",2015,11,"Calvin Harris","Non Mover"
"193",2016,11,"Avicii","Down 4"
"194",2017,11,"Don Diablo ","Up 4"
"195",2018,11,"Steve Aoki","Down 2"
"196",2019,11,"Alok","Up 2"
"197",2020,11,"Marshmello","Down 6"
"198",2021,11,"KSHMR","Up 1"
"199",2004,12,"Sander Kleinenberg","Up 1"
"200",2005,12,"Richie Hawtin","Up 32"
"201",2006,12,"Infected Mushroom","Up 14"
"202",2007,12,"Paul Oakenfold","Up 2"
"203",2008,12,"Carl Cox","Down 5"
"204",2009,12,"Infected Mushroom","Down 2"
"205",2010,12,"Sander Van Doorn","Down 2"
"206",2011,12,"Axwell","Down 2"
"207",2012,12,"Swedish House Mafia","Down 2"
"208",2013,12,"Deadmau5","Down 7"
"209",2014,12,"Afrojack","Down 3"
"210",2015,12,"Oliver Heldens","Up 22"
"211",2016,12,"KSHMR","Up 11"
"212",2017,12,"KSHMR","Non Mover"
"213",2018,12,"R3hab","Up 6"
"214",2019,12,"Hardwell","Down 9"
"215",2020,12,"KSHMR","Up 3"
"216",2021,12,"R3hab","Up 1"
"217",2004,13,"ATB","Up 34"
"218",2005,13,"James Zabiela","Up 2"
"219",2006,13,"ATB","Down 4"
"220",2007,13,"Markus Schulz","Up 6"
"221",2008,13,"Sander Van Doorn","Up 2"
"222",2009,13,"Sasha","Down 6"
"223",2010,13,"Infected Mushroom","Down 1"
"224",2011,13,"Gareth Emery","Down 6"
"225",2012,13,"Markus Schulz","Down 4"
"226",2013,13,"Alesso","Up 7"
"227",2014,13,"Blasterjaxx","Up 58"
"228",2015,13,"Alesso","Up 2"
"229",2016,13,"W&W","Up 1"
"230",2017,13,"Oliver Heldens","Down 5"
"231",2018,13,"Alok","Up 6"
"232",2019,13,"Timmy Trumpet","Up 20"
"233",2020,13,"R3hab","Up 1"
"234",2021,13,"Marshmello","Down 2"
"235",2004,14,"Judge Jules","Down 5"
"236",2005,14,"Christopher Lawrence","Down 7"
"237",2006,14,"Paul Oakenfold","Down 3"
"238",2007,14,"Hernan Cattaneo","Up 1"
"239",2008,14,"Paul Oakenfold","Down 2"
"240",2009,14,"Axwell","Up 6"
"241",2010,14,"Steve Angello","Up 6"
"242",2011,14,"Fedde Le Grand","Up 5"
"243",2012,14,"Gareth Emery","Down 1"
"244",2013,14,"W&W","Up 11"
"245",2014,14,"Dash Berlin","Down 4"
"246",2015,14,"W&W","Up 4"
"247",2016,14,"Calvin Harris","Down 3"
"248",2017,14,"W&W","Down 1"
"249",2018,14,"W&W","Non Mover"
"250",2019,14,"R3hab","Down 2"
"251",2020,14,"W&W","Up 4"
"252",2021,14,"W&W","Non Mover"
"253",2004,15,"James Zabiela","Down 4"
"254",2005,15,"Judge Jules","Down 1"
"255",2006,15,"Hernan Cattaneo","Down 8"
"256",2007,15,"Sander Van Doorn","Up 15"
"257",2008,15,"Richie Hawtin","Up 4"
"258",2009,15,"Andy Moor","Up 3"
"259",2010,15,"Dash Berlin","New Entry"
"260",2011,15,"ATB","Down 4"
"261",2012,15,"Steve Aoki","Up 27"
"262",2013,15,"Calvin Harris","Up 16"
"263",2014,15,"Alesso","Down 2"
"264",2015,15,"Dash Berlin","Down 1"
"265",2016,15,"Don Diablo ","Up 15"
"266",2017,15,"Calvin Harris","Down 1"
"267",2018,15,"Avicii","Up 13"
"268",2019,15,"KSHMR","Up 3"
"269",2020,15,"Skrillex","Up 6"
"270",2021,15,"Tiësto","Up 1"
"271",2004,16,"Marco V","Down 1"
"272",2005,16,"Marco V","Re-entry"
"273",2006,16,"Judge Jules","Down 1"
"274",2007,16,"Eddie Halliwell","Up 1"
"275",2008,16,"Hernan Cattaneo","Down 2"
"276",2009,16,"Bobina","Up 12"
"277",2010,16,"Sebastian Ingrosso","Up 9"
"278",2011,16,"Sander Van Doorn","Down 4"
"279",2012,16,"Paul van Dyk","Down 5"
"280",2013,16,"Nervo","Up 30"
"281",2014,16,"Deadmau5","Down 4"
"282",2015,16,"DVBBS","Up 4"
"283",2016,16,"Axwell & Ingrosso"," Up 1"
"284",2017,16,"Skrillex","Down 7"
"285",2018,16,"DVBBS","Up 6"
"286",2019,16,"DJ Snake","Up 8"
"287",2020,16,"Tiësto","Down 8"
"288",2021,16,"Calvin Harris","Up 2"
"289",2004,17,"Roger Sanchez","Up 4"
"290",2005,17,"Eddie Halliwell","Up 8"
"291",2006,17,"Eddie Halliwell","Re-entry"
"292",2007,17,"James Zabiela","Up 4"
"293",2008,17,"James Zabiela","Stay 2"
"294",2009,17,"John Digweed","Down 8"
"295",2010,17,"Laidback Luke","Up 10"
"296",2011,17,"Headhunterz","Up 17"
"297",2012,17,"Nicky Romero","New Entry"
"298",2013,17,"Above & Beyond","Down 9"
"299",2014,17,"Showtek","Up 10"
"300",2015,17,"Axwell & Ingrosso","Non Mover"
"301",2016,17,"Dash Berlin","Down 2"
"302",2017,17,"Alan Walker","Up 38"
"303",2018,17,"Lost Frequencies","Up 9"
"304",2019,17,"Eric Prydz","Up 3"
"305",2020,17,"Hardwell","Down 5"
"306",2021,17,"Vintage Culture","Up 13"
"307",2004,18,"Benny Benassi","New Entry"
"308",2005,18,"Erick Morillo","Up 4"
"309",2006,18,"Marco V","Down 2"
"310",2007,18,"Astrix","Up 23"
"311",2008,18,"Andy Moor","Up 12"
"312",2009,18,"Carl Cox","Down 6"
"313",2010,18,"Judge Jules","Up 26"
"314",2011,18,"Ferry Corsten","Down 9"
"315",2012,18,"Sander Van Doorn","Down 2"
"316",2013,18,"Sebastian Ingrosso","Up 16"
"317",2014,18,"W&W","Down 4"
"318",2015,18,"Nicky Romero","Down 10"
"319",2016,18,"The Chainsmokers","Re-entry"
"320",2017,18,"R3hab","Up 3"
"321",2018,18,"KSHMR","Down 6"
"322",2019,18,"W & W","Down 4"
"323",2020,18,"Calvin Harris","Up 1"
"324",2021,18,"Nervo","Up 2"
"325",2004,19,"Tall Paul","Re-entry"
"326",2005,19,"Above & Beyond","Up 20"
"327",2006,19,"Markus Schulz","Up 2"
"328",2007,19,"Richie Hawtin","Up 14"
"329",2008,19,"Eddie Halliwell","Down 3"
"330",2009,19,"Cosmic Gate","Up 43"
"331",2010,19,"Afrojack","New Entry"
"332",2011,19,"Skrillex","New Entry"
"333",2012,19,"Aly & Fila","Up 3"
"334",2013,19,"Axwell","Up 4"
"335",2014,19,"Deorro","New Entry"
"336",2015,19,"Blasterjaxx","Down 6"
"337",2016,19,"Ummet Ozcan","Up 17"
"338",2017,19,"Alok","Up 6"
"339",2018,19,"Vintage Culture","Up 12"
"340",2019,19,"Calvin Harris","Up 21"
"341",2020,19,"Above & Beyond","Up 3"
"342",2021,19,"Fedde Le Grand","Up 4"
"343",2004,20,"Danny Howells","Down 8"
"344",2005,20,"Sander Kleinenberg","Down 8"
"345",2006,20,"Gabriel & Dresden","Up 9"
"346",2007,20,"Marco V","Down 2"
"347",2008,20,"Axwell","Up 13"
"348",2009,20,"Steve Angello","Up 43"
"349",2010,20,"Aly & Fila","Up 2"
"350",2011,20,"Laidback Luke","Down 3"
"351",2012,20,"Alesso","Up 50"
"352",2013,20,"Aly & Fila","Down 1"
"353",2014,20,"DVBBS","New Entry"
"354",2015,20,"Diplo","Up 12"
"355",2016,20,"Alesso","Down 7"
"356",2017,20,"Dash Berlin","Down 3"
"357",2018,20,"Eric Prydz","Up 14"
"358",2019,20,"Lost Frequencies","Down 3"
"359",2020,20,"Nervo","Up 4"
"360",2021,20,"Vini Vici","Up 4"
"361",2004,21,"Steve Lawler","Down 7"
"362",2005,23,"Sven Väth","Up 11"
"363",2006,21,"James Zabiela","Down 8"
"364",2007,21,"Judge Jules","Down 5"
"365",2008,21,"Eric Prydz","Up 15"
"366",2009,21,"Roger Shah","Up 37"
"367",2010,21,"Fedde Le Grand","Up 8"
"368",2011,21,"Infected Mushroom","Down 8"
"369",2012,21,"ATB","Down 6"
"370",2013,21,"Markus Schulz","Down 8"
"371",2014,21,"Nervo","Down 5"
"372",2015,21,"R3hab","Up 2"
"373",2016,21,"R3hab","Non Mover"
"374",2017,21,"Axwell ","\ Ingrosso"
"375",2018,21,"Skrillex","Down 5"
"376",2019,21,"Skrillex","Non Mover"
"377",2020,21,"Lost Frequencies","Down 1"
"378",2021,21,"Above & Beyond","Down 2"
"379",2004,22,"Erick Morillo","Down 6"
"380",2005,24,"DJ Dan","Re-entry"
"381",2006,22,"John Acquaviva","New Entry"
"382",2007,22,"Fedde Le Grand","New Entry"
"383",2008,22,"Kyau & Albert","Up 35"
"384",2009,22,"Aly & Fila","Up 9"
"385",2010,22,"Carl Cox","Down 4"
"386",2011,22,"Aly & Fila","Down 2"
"387",2012,22,"Ferry Corsten","Down 4"
"388",2013,22,"Daft Punk","Up 22"
"389",2014,22,"Zedd","Up 2"
"390",2015,22,"Zedd","Non Mover"
"391",2016,22,"DJ Snake","Up 10"
"392",2017,22,"DVBBS","Up 2"
"393",2018,22,"Fedde Le Grand","Up 17"
"394",2019,22,"Above & Beyond","Up 29"
"395",2020,22,"Eric Prydz","Down 5"
"396",2021,22,"Alan Walker","Up 4"
"397",2004,23,"Chris Liebing","Up 65"
"398",2005,25,"Danny Howells","Down 5"
"399",2006,23,"Flash Brothers","Up 43"
"400",2007,23,"Gabriel & Dresden","Down 3"
"401",2008,23,"Gareth Emery","Up 8"
"402",2009,23,"Paul Oakenfold","Down 9"
"403",2010,23,"Swedish House Mafia","New Entry"
"404",2011,23,"Steve Angello","Down 9"
"405",2012,23,"Axwell","Down 11"
"406",2013,23,"Headhunterz","Down 12"
"407",2014,23,"R3hab","Up 35"
"408",2015,23,"KSHMR","New Entry"
"409",2016,23,"Diplo","Down 3"
"410",2017,23,"DJ Snake","Down 1"
"411",2018,23,"Ummet Ozcan","Up 15"
"412",2019,23,"DVBBS","Down 7"
"413",2020,23,"Fedde Le Grand","Up 7"
"414",2021,23,"Charlotte de Witte","Up 9"
"415",2004,24,"DJ Dan","Re-entry"
"416",2005,NA,"New Entry",NA
"417",2006,24,"DJ Amadeus","New Entry"
"418",2007,24,"Erick Morillo","Up 1"
"419",2008,24,"Sven Väth","Up 3"
"420",2009,24,"John O'Callaghan","Up 36"
"421",2010,24,"Cosmic Gate","Down 4"
"422",2011,24,"Hardwell","New Entry"
"423",2012,24,"Dada Life","Up 14"
"424",2013,24,"Zedd","Up 27"
"425",2014,NA,"Up 4",NA
"426",2015,24,"Nervo","Down 3"
"427",2016,24,"DVBBS","Down 8"
"428",2017,24,"Kygo","Up 2"
"429",2018,24,"DJ Snake","Down 1"
"430",2019,24,"Nervo","Up 3"
"431",2020,24,"Vini Vici","Up 7"
"432",2021,24,"Skrillex","Down 9"
"433",2004,25,"Eddie Halliwell","Down 5"
"434",2005,27,"Roger Sanchez","Down 10"
"435",2006,25,"Erick Morillo","Down 7"
"436",2007,25,"Roger Sanchez","Up 17"
"437",2008,25,"ATB","Up 1"
"438",2009,25,"Sebastian Ingrosso","New Entry"
"439",2010,25,"Bobina","Down 9"
"440",2011,25,"Arty","Up 53"
"441",2012,25,"W&W","Up 11"
"442",2013,25,"Knife Party","Up 8"
"443",2014,25,"Above & Beyond","Down 8"
"444",2015,25,"Deadmau5","Down 9"
"445",2016,25,"Alok","Up 19"
"446",2017,25,"Diplo","Down 2"
"447",2018,25,"Quintino","Up 5"
"448",2019,25,"Quintino","Non Mover"
"449",2020,25,"DJ Snake","Down 9"
"450",2021,25,"Lost Frequencies","Down 4"
"451",2004,26,"Andy C","Up 45"
"452",2005,28,"Mauro Picotto","Down 1"
"453",2006,26,"Benny Benassi","Down 4"
"454",2007,26,"ATB","Down 13"
"455",2008,26,"Anderson Noise","Up 28"
"456",2009,26,"Benny Benassi","Up 13"
"457",2010,26,"Benny Benassi","Non Mover"
"458",2011,26,"Sebastian Ingrosso","Down 10"
"459",2012,26,"Fedde Le Grand","Down 12"
"460",2013,26,"Swedish House Mafia","Down 14"
